8619.67,8344.12,7890.52,8321.91,8322.91,8290.76,9214.65,9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40
8344.12,7890.52,8321.91,8322.91,8290.76,9214.65,9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30
7890.52,8321.91,8322.91,8290.76,9214.65,9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90
8321.91,8322.91,8290.76,9214.65,9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90,14266.10
8322.91,8290.76,9214.65,9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90,14266.10,11923.40
8290.76,9214.65,9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90,14266.10,11923.40,11685.70
9214.65,9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90,14266.10,11923.40,11685.70,11315.40
9173.04,9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90,14266.10,11923.40,11685.70,11315.40,11082.70
9602.93,8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90,14266.10,11923.40,11685.70,11315.40,11082.70,10978.30
8852.78,9350.59,9414.69,9951.44,10803.90,11500.10,11532.40,11497.40,11101.90,10977.40,10385.00,10687.20,10393.90,9669.43,9796.42,10287.70,9937.07,10660.40,11372.20,11231.80,10552.60,11123.40,10207.50,10135.70,9488.32,8599.92,8926.72,8141.43,8616.13,8720.08,8271.84,7637.86,7755.49,7051.75,8270.54,9175.70,8852.12,9142.28,10237.30,10108.20,11306.80,11755.50,11475.30,11174.90,11256.00,11421.70,10903.40,10944.50,11633.10,12889.20,11656.20,11429.80,11198.80,11431.10,13836.10,13767.30,14370.80,13952.40,13453.90,14968.20,14588.50,15123.70,16476.20,17527.30,17462.10,15477.20,15270.70,14978.20,13625.00,14112.20,12897.70,14681.90,14695.80,15864.10,16163.50,14036.60,13995.90,14608.20,13948.70,15898.00,16642.40,17760.30,19118.30,19106.40,19475.80,17760.30,16601.30,16384.60,17500.00,16919.80,15427.40,15168.40,16523.30,17802.90,14266.10,11923.40,11685.70,11315.40,11082.70,10978.30,10198.60
