8619.67,8344.12
8344.12,7890.52
7890.52,8321.91
8321.91,8322.91
8322.91,8290.76
8290.76,9214.65
9214.65,9173.04
9173.04,9602.93
9602.93,8852.78
8852.78,9350.59
9350.59,9414.69
9414.69,9951.44
9951.44,10803.90
10803.90,11500.10
11500.10,11532.40
11532.40,11497.40
11497.40,11101.90
11101.90,10977.40
10977.40,10385.00
10385.00,10687.20
10687.20,10393.90
10393.90,9669.43
9669.43,9796.42
9796.42,10287.70
10287.70,9937.07
9937.07,10660.40
10660.40,11372.20
11372.20,11231.80
11231.80,10552.60
10552.60,11123.40
11123.40,10207.50
10207.50,10135.70
10135.70,9488.32
9488.32,8599.92
8599.92,8926.72
8926.72,8141.43
8141.43,8616.13
8616.13,8720.08
8720.08,8271.84
8271.84,7637.86
7637.86,7755.49
7755.49,7051.75
7051.75,8270.54
8270.54,9175.70
9175.70,8852.12
8852.12,9142.28
9142.28,10237.30
10237.30,10108.20
10108.20,11306.80
11306.80,11755.50
11755.50,11475.30
11475.30,11174.90
11174.90,11256.00
11256.00,11421.70
11421.70,10903.40
10903.40,10944.50
10944.50,11633.10
11633.10,12889.20
12889.20,11656.20
11656.20,11429.80
11429.80,11198.80
11198.80,11431.10
11431.10,13836.10
13836.10,13767.30
13767.30,14370.80
14370.80,13952.40
13952.40,13453.90
13453.90,14968.20
14968.20,14588.50
14588.50,15123.70
15123.70,16476.20
16476.20,17527.30
17527.30,17462.10
17462.10,15477.20
15477.20,15270.70
15270.70,14978.20
14978.20,13625.00
13625.00,14112.20
14112.20,12897.70
12897.70,14681.90
14681.90,14695.80
14695.80,15864.10
15864.10,16163.50
16163.50,14036.60
14036.60,13995.90
13995.90,14608.20
14608.20,13948.70
13948.70,15898.00
15898.00,16642.40
16642.40,17760.30
17760.30,19118.30
19118.30,19106.40
19106.40,19475.80
19475.80,17760.30
17760.30,16601.30
16601.30,16384.60
16384.60,17500.00
17500.00,16919.80
16919.80,15427.40
15427.40,15168.40
15168.40,16523.30
16523.30,17802.90
17802.90,14266.10
14266.10,11923.40
11923.40,11685.70
11685.70,11315.40
11315.40,11082.70
11082.70,10978.30
10978.30,10198.60
10198.60,9906.79
9906.79,10077.40
10077.40,9823.43
9823.43,9352.72
9352.72,8789.04
8789.04,8241.71
8241.71,8074.02
8074.02,8232.38
8232.38,8077.95
8077.95,8205.74
8205.74,8039.07
8039.07,7766.03
7766.03,7697.21
7697.21,7853.57
7853.57,7323.24
7323.24,6634.76
6634.76,6561.48
6561.48,5938.25
5938.25,6295.45
6295.45,6618.61
6618.61,7173.73
7173.73,7446.83
7446.83,7141.38
7141.38,7023.10
7023.10,7403.22
7403.22,7404.52
7404.52,7164.48
7164.48,7087.53
7087.53,6777.77
6777.77,6440.97
6440.97,6132.02
6132.02,6114.85
6114.85,5754.44
5754.44,5787.82
5787.82,5899.74
5899.74,5747.95
